gunfighter_the_legend_of_jesse_james SLUS-01398
gunship SLUS-00313
hardball_5 SLUS-00108
hardball_99 SLUS-00651
harry_potter_and_the_chamber_of_secrets SLUS-01503
harry_potter_and_the_sorcerers_stone SLUS-01415
harvest_moon_back_to_nature SLUS-01115
hbo_boxing SLUS-01027
heart_of_darkness SLUS-00696
hellboy_asylum_seeker SLUS-01414
hello_kitty_cube_frenzy SLUS-00778
hercs_adventures SLUS-00298
hexen SLUS-00348
high_heat_major_league_baseball_2002 SLUS-01244
high_heat_baseball_2000 SLUS-00830
hi_octane_the_track_fights_back SLUS-00157
the_hive 	SLUS-00120
hogs_of_war SLUS-01195
holiday_picks_97 SCUS-94232
hooters_road_trip SLUS-01394
hoshigami_running_blue_earth SLUS-01375
hot_shots_golf SCUS-94188
hot_shots_golf_2 SCUS-94476
hot_wheels_extreme_racing SLUS-01293
hot_wheels_turbo_racing SLUS-00964
hugo_the_evil_mirror SLUS-01559
hydro_thunder SLUS-00847
ihra_drag_racing SLUS-01097
impact_racing SLUS-00225
in_cold_blood SLUS-01294
in_the_hunt SLUS-00172
incredible_crisis SLUS-01225
incredible_hulk_the_pantheon_saga SLUS-00150
independence_day SLUS-00221
inspector_gadget_gadgets_crazy_maze SLUS-01267
iq_intelligent_qube SCUS-94181
intellivision_classics SLUS-00906
international_track_&_field SLUS-00238
international_track_&_field_2000 SLUS-00987
interplay_sports_baseball_2000 SLUS-00850
inuyasha_a_feudal_fairy_tale SLUS-01534
invasion_from_beyond_b_movie SLUS-00709
iron_&_blood_warriors_of_ravenloft SLUS-00378
iron_soldier_3 SLUS-01061
ironman_&_x_o_manowar_in_heavy_metal SLUS-00235
irritating_stick SLUS-00775
iss_pro_evolution SLUS-01014
iss_soccer_pro_98 SLUS-00674
the_italian_job 	SLUS-01457
jackie_chan_stuntmaster SLUS-00684
jade_cocoon_legend_of_tamamayu SLUS-00854
jampack_vol1 SCUS-94176
jampack_vol2 SCUS-94197
jarrett_&_labonte_stock_car_racing SLUS-01139
jeopardy! SLUS-00682
jeopardy!_2nd_edition SLUS-01173
jeremy_mcgrath_supercross_2000 SLUS-00832
jeremy_mcgrath_supercross_98 SLUS-00479
jersey_devil SCUS-94907
jet_moto SCUS-94309
jet_moto_2 SCUS-94167
jet_moto_3 SCUS-94555
jigsaw_madness SLUS-01509
jimmy_johnsons_vr_football_98 SLUS-00500
jimmy_whites_cueball SLUS-01118
jimmy_whites_cueball_2 SLUS-01313
johnny_bazookatone SLUS-00194
jojos_bizarre_adventure SLUS-01060
judge_dredd SLUS-00630
juggernaut SLUS-00894
jumping_flash! SCUS-94103
jumping_flash!_2 SCUS-94108
jumpstart_wildlife_safari SLUS-01383
junior_league_dodgeball SLUS-01560
jupiter_strike SLUS-00177
k_1_the_arena_fighters_in_the_red_corner SLUS-00414
k_1_grand_prix SLUS-00941
k_1_revenge SLUS-00766
kagero_deception_ii SLUS-00677
kartia_the_word_of_fate SLUS-00631
kengo SLUS-01205
kensei_sacred_fist SLUS-00600
kickboxing SLUS-01412
kileak_the_dna_imperative SCUS-94102
killer_loop SLUS-00938
killing_zone SLUS-00369
king_of_fighters_evolution SLUS-01154
kings_field SLUS-00158
kings_field_ii SLUS-00255
kingsleys_adventure SLUS-00801
kiss_pinball SLUS-01366
klonoa_door_to_phantomile SLUS-00585
knockout_kings SLUS-00737
knockout_kings_2000 SLUS-00993
knockout_kings_2001 SLUS-01269
konami_arcade_classics SLUS-00945
koudelka SLUS-01051
krazy_ivan SCUS-94303
kurt_warners_arena_football_unleashed SLUS-01125
land_before_time_big_water_adventure SLUS-01481
land_before_time_great_valley_racing_adventure SLUS-01213
land_before_time_return_to_great_valley SLUS-01043
largo_winch_commando_sar SLUS-01441
league_of_pain_professional_underground SCUS-94551
legacy_of_kain_soul_reaver SLUS-00708
the_legend_of_dragoon 	SCUS-94491
legend_of_legaia SCUS-94254
legend_of_mana SLUS-01013
lego_island_2_the_bricksters_revenge SLUS-01246
lego_racers SLUS-00581
lego_rock_raiders SLUS-00937
lego_stunt_rally SLUS-01390
lemmings_&_oh_no!_more_lemmings SLUS-00760
lemmings_3d SCUS-94601
lethal_enforcers_i_&_ii SLUS-00293
life,_the_game_of SLUS-00769
loaded SLUS-00076
lode_runner SLUS-00557
lone_soldier SLUS-00322
looney_toons_sheep_raider SLUS-01369
looney_tunes_racing SLUS-01145
lost_world,_the_jurassic_park SLUS-00515
lucky_luke SLUS-00719
lunar_silver_star_story_complete SLUS-00628
lunar_2_eternal_blue_complete SLUS-01071
m_&_ms_shell_shocked SLUS-01306
machine_head SLUS-00383
machine_hunter SLUS-00470
madden_nfl_2000 SLUS-00961
madden_nfl_2001 SLUS-01241
madden_nfl_2002 SLUS-01402
madden_nfl_2003 SLUS-01482
madden_nfl_2004 SLUS-01570
madden_nfl_2005 SLUS-01584
madden_nfl_97 SLUS-00018
madden_nfl_98 SLUS-00516
madden_nfl_99 SLUS-00729
magic_carpet SLUS-00029
magic_the_gathering_battlemage SLUS-00247
marble_master SLUS-01471
martian_gothic_unification SLUS-01148
marvel_super_heroes SLUS-00257
marvel_super_heroes_vs_street_fighter SLUS-00793
marvel_vs_capcom_clash_of_the_super_heroes SLUS-01059
mary_kate_&_ahsley_crush_course SLUS-01386
mary_kate_&_ashley_magical_mystery_mall SLUS-01121
mary_kate_&_ashley_winners_circle SLUS-01362
mass_destruction SLUS-00462
master_of_monsters_disciples_of_gaia SLUS-00595
matt_hoffmans_pro_bmx SLUS-01113
maximum_force SLUS-00503
mcgrath_vs_pastrana_freestyle_motocross SLUS-01122
mdk SLUS-00426
mechwarrior_2 SLUS-00401
medal_of_honor SLUS-00974
medal_of_honor_underground SLUS-01270
medievil SCUS-94227
medievil_ii SCUS-94564
megaman_8 SLUS-00453
megaman_legends SLUS-00603
megaman_legends_2 SLUS-01140
megaman_x4 SLUS-00561
megaman_x5 SLUS-01334
megaman_x6 SLUS-01395
men_in_black_the_series_crashdown SLUS-01387
metal_gear_solid SLUS-00594
metal_gear_solid_vr_missions SLUS-00957
metal_slug_x SLUS-01212
micro_machines_v3 SLUS-00559
micro_maniacs_racing SLUS-01129
mike_tyson_boxing SLUS-01162
miracle_space_race SLUS-01556
the_misadventures_of_tron_bonne 	SLUS-00896
miss_spiders_tea_party SLUS-01123
missile_command SLUS-00992
mission_impossible SLUS-01016
mlb_2000 SCUS-94359
mlb_2001 SCUS-94478
mlb_2002 SCUS-94638
mlb_2003 SCUS-94653
mlb_2004 SCUS-94689
mlb_2005 SCUS-94692
mlb_98 SCUS-94170
mlb_99 SCUS-94233
mlb_pennant_race SCUS-94507
mobil_1_rally_championship SLUS-01103
mobile_armor SLUS-01469
